Los Cazadores de Mamuts;Jean M. Auel;Embolsillo;;;;;05/05/2005;Magda
Las Llanuras del Transito;Jean M. Auel;Embolsillo;;;;;05/05/2005;Magda
Muérdeme;Christopher Moore;La factoría;;;;;05/05/2005;Magda
Los juegos del Hambre;Suzanne Collins;Molino;;;;;05/05/2005;Magda
Caballo de Troya Nº 9;J.J. Benítez;Planeta;;;;;05/05/2005;Magda
La Casa Reverton;Kate Morton;Punto de Lectura;;;;;05/05/2005;Magda
El Abuelo que Salto por la Ventana;Jonás Jonasson;Salamandra;;;;;05/05/2005;Txoko Txiki
No abras los Ojos;John Verdón;Rocabolsillo;;;;;05/05/2005;Magda
El Jardín Invisible;Dolores Redondo;Destino;;;;;05/05/2005;Elkar
Esta en el Aire;Sergio Vila Sanjuán;Destino;;;;;05/05/2005;Magda
Rebelión en Milagro;John Nichols;Seix Barral;;;;;04/09/2006;Magda
Sentido y Sensibilidad;Jane Austen;RBA;;;;;04/09/2006;
Ágata Ojo de Gato;José Manuel Caballero;Circulo Lectores;;;;;04/09/2006;
Lord Jim;Joseph Conrad;Planeta;;;;;04/09/2006;
Eva y el Mar;V. Carmen Kurt;Editorial Noguer;;;;;04/09/2006;
Agnes Cecilia;María Gripe;Editorial S. M.;;;;;04/09/2006;
Huida imposible;Anna Quindlen;R. B. A.;;;;;04/09/2006;
Novela con Cocaína;M. Agüen;Circulo Lectores;;;;;04/09/2006;
Cerebro;Robin Cook;Editorial Bruguera;;;;;04/09/2006;
La Zona Muerta;Stephen King;Plaza y Janez;;;;;04/09/2006;
Don Juan Tenorio;José Zorrilla;Circulo Católico;;;;;04/09/2006;
El Honor Perdido de K. Blum;Heinrich Böil;Circulo Lectores;;;;;04/09/2006;
Aprende y Calla;Andréu Martín;Sedmay;;;;;11/09/2006;
Nick Contra Hollywood;Fleuve Noir;Sedmay;;;;;11/09/2006;
La Ruta de los Canguros;Guillen frontera;Sedmay;;;;;11/09/2006;
El Tercer Hombre;Grahan Greene;Sedmay;;;;;11/09/2006;
La Venus del Cuadro;Frank G. Slaughter;Sedmay;;;;;11/09/2006;
La luna del Cazador;Victoria Holt;Planeta;;;;;11/09/2006;
Las 4 Libertades de Ana B.;Ingeborg Bayer;Planeta;;;;;11/09/2006;
Cuando Vive la Ilusión;Manuel Linares;Planeta;;;;;11/09/2006;
El Criado Chino;Earl Der. Biggers;Planeta;;;;;11/09/2006;
Diario de un Asesino;Roger Vlard;Fleuve Noir;;;;;11/09/2006;
El Cartero Llama dos Veces;James M. Caín;Bruguera;;;;;11/09/2006;
A Tienta y a Ciegas;Marta Portal;Planeta;;;;;11/09/2006;
El Asesino Enamorado;Frederic Dard;Fleuve Noir;;;;;13/09/2006;
El Saqueo de Marbella;Cristóbal Toro;Arco Press;;;;;13/09/2006;
Flores en el Ático;V. C. Andrews;Salvat;;;;;13/09/2006;
Misery;Stephen King;Plaza y Janes;;;;;20/09/2006;
