Las Llanuras del Transito;Jean M. Auel;Embolsillo;null;null;null;null;2005-5-5;Magda
Muérdeme;Christopher Moore;La factoría;null;null;null;null;2005-5-5;Magda
Caballo de Troya Nº 9;J.J. Benítez;Planeta;null;null;null;null;2005-5-5;Magda
La Casa Reverton;Kate Morton;Punto de Lectura;null;null;null;null;2005-5-5;Magda
El Abuelo que Salto por la Ventana;Jonás Jonasson;Salamandra;null;null;null;null;2005-5-5;Txoko Txiki
Los juegos del Hambre;Suzanne Collins;Molino;null;null;null;null;2005-5-5;Magda
No abras los Ojos;John Verdón;Rocabolsillo;null;null;null;null;2005-5-5;Magda
Los Cazadores de Mamuts;Jean M. Auel;Embolsillo;null;null;null;null;2005-5-5;Magda
El Jardín Invisible;Dolores Redondo;Destino;null;null;null;null;2005-5-5;Elkar
Esta en el Aire;Sergio Vila Sanjuán;Destino;null;null;null;null;2005-5-5;Magda
Rebelión en Milagro;John Nichols;Seix Barral;null;null;null;null;2006-4-9;Magda
Sentido y Sensibilidad;Jane Austen;RBA;null;null;null;null;2006-4-9;
Ágata Ojo de Gato;José Manuel Caballero;Circulo Lectores;null;null;null;null;2006-4-9;
Lord Jim;Joseph Conrad;Planeta;null;null;null;null;2006-4-9;
Eva y el Mar;V. Carmen Kurt;Editorial Noguer;null;null;null;null;2006-4-9;
Agnes Cecilia;María Gripe;Editorial S. M.;null;null;null;null;2006-4-9;
Huida imposible;Anna Quindlen;R. B. A.;null;null;null;null;2006-4-9;
Novela con Cocaína;M. Agüen;Circulo Lectores;null;null;null;null;2006-4-9;
Cerebro;Robin Cook;Editorial Bruguera;null;null;null;null;2006-4-9;
La Zona Muerta;Stephen King;Plaza y Janez;null;null;null;null;2006-4-9;
Don Juan Tenorio;José Zorrilla;Circulo Católico;null;null;null;null;2006-4-9;
El Honor Perdido de K. Blum;Heinrich Böil;Circulo Lectores;null;null;null;null;2006-4-9;
Aprende y Calla;Andréu Martín;Sedmay;null;null;null;null;2006-11-9;
Nick Contra Hollywood;Fleuve Noir;Sedmay;null;null;null;null;2006-11-9;
La Ruta de los Canguros;Guillen frontera;Sedmay;null;null;null;null;2006-11-9;
El Tercer Hombre;Grahan Greene;Sedmay;null;null;null;null;2006-11-9;
La Venus del Cuadro;Frank G. Slaughter;Sedmay;null;null;null;null;2006-11-9;
La luna del Cazador;Victoria Holt;Planeta;null;null;null;null;2006-11-9;
Las 4 Libertades de Ana B.;Ingeborg Bayer;Planeta;null;null;null;null;2006-11-9;
Cuando Vive la Ilusión;Manuel Linares;Planeta;null;null;null;null;2006-11-9;
El Criado Chino;Earl Der. Biggers;Planeta;null;null;null;null;2006-11-9;
Diario de un Asesino;Roger Vlard;Fleuve Noir;null;null;null;null;2006-11-9;
El Cartero Llama dos Veces;James M. Caín;Bruguera;null;null;null;null;2006-11-9;
A Tienta y a Ciegas;Marta Portal;Planeta;null;null;null;null;2006-11-9;
El Asesino Enamorado;Frederic Dard;Fleuve Noir;null;null;null;null;1999-12-31;
El Saqueo de Marbella;Cristóbal Toro;Arco Press;null;null;null;null;1999-12-31;
Flores en el Ático;V. C. Andrews;Salvat;null;null;null;null;1999-12-31;
Misery;Stephen King;Plaza y Janes;null;null;null;null;1999-12-31;
El Amargo Don de la belleza;Terence Moix;Booket;null;null;null;null;1999-12-31;
Piel;Ben Mezrich;Plaza y Janes;null;null;null;null;1999-12-31;
Frankenstein;Mary Shelley;Cultura;null;null;null;null;1999-12-31;
El Espectro del Titanic;Arthur C. Clarke;Plaza y Janes;null;null;null;null;1999-12-31;
Encuentro en Montaña Roja;J.J. Benítez;Plaza y Janes;null;null;null;null;1999-12-31;
La Gloria del olivo;J.J. Benítez;Planeta;null;null;null;null;1999-12-31;
La Gran Oleada;J.J. Benítez;Planeta;null;null;null;null;1999-12-31;
La Punta del Iceberg;J.J. Benítez;Planeta;null;null;null;null;1999-12-31;
Los Visitantes;J.J. Benítez;Planeta;null;null;null;null;1999-12-31;
Materia Reservada;J.J. Benítez;Planeta;null;null;null;null;1999-12-31;
El Testamento de San Juan;J.J. Benítez;Planeta;null;null;null;null;1999-12-31;
El Misterio de la Virgen de Guadalupe;J.J. Benítez;Planeta;null;null;null;null;1999-12-31;
El Retorno de los Dioses;Erich Von Daniken;Planeta;null;null;null;null;1999-12-31;
Promesa Salvaje;Patricia Mathews;Vergara;null;null;null;null;2006-2-10;
Historia de los Egipcios;Isaac Asimov;Alianza;null;null;null;null;2006-2-10;
Jesús el Esenio;Edmund Bordeaux Szekely;Vergara;null;null;null;null;2006-2-10;
Esfera;Michael Crchton;Circulo Lectores;null;null;null;null;2006-2-10;
El Enviado de los Sueños;J.J. Benítez;Plaza y Janez;null;null;null;null;2006-2-10;
Nublares;Antonio Pérez Henares;Plaza y Janez;null;null;null;null;2006-2-10;
Bésame Tonto;Patricia Carrano;Grupo Zeta;null;null;null;null;2006-2-10;
El libro Tibetano de los Muertos;Bardo Thödol;Obelisco;null;null;null;null;2006-2-10;
Reunión Tumultuosa;Tom Sharpe;Circulo Lectores;null;null;null;null;2006-2-10;
Oboe;Luis Mª Fernández Martín;C. Nova 33;null;null;null;null;2006-2-10;
Asesinato a las Puertas del Templo;Lynda S. Robinson;Plaza y Janez;null;null;null;null;2006-2-10;
El Enigma de la Piedra;Christian Jacq;Grupo Zeta;null;null;null;null;2006-2-10;
Pétalos al Viento;V.C. Andrews;Salvat;null;null;null;null;2006-4-10;
Si Hubiera Espíritus;V.C. Andrews;Salvat;null;null;null;null;2006-4-10;
